transaction_id,customer_id,transaction_date,transaction_type,amount,branch_id,fraud_label
TXN000001,CUST0262,2024-02-19,Transfer,7406.45,MU-001,0
TXN000002,CUST0086,2024-04-16,Transfer,46695.59,BLR-003,0
TXN000003,CUST0458,2023-08-22,Deposit,15375.16,CHN-004,0
TXN000004,CUST0023,2023-07-02,Deposit,2459.51,CHN-004,0
TXN000005,CUST0197,2024-01-03,Withdrawal,1672.21,BLR-003,0
TXN000006,CUST0284,2023-07-19,Bill Payment,8868.87,CHN-004,0
TXN000007,CUST0469,2024-01-30,Transfer,1008.0,HYD-005,0
TXN000008,CUST0191,2024-04-18,Deposit,44256.19,JAI-009,0
TXN000009,CUST0092,2023-07-27,Withdrawal,20238.22,JAI-009,0
TXN000010,CUST0036,2024-01-22,Bill Payment,2798.92,HYD-005,0
TXN000011,CUST0168,2023-12-07,Deposit,629.07,JAI-009,0
TXN000012,CUST0103,2024-01-05,Transfer,24950.44,LKN-010,0
TXN000013,CUST0125,2024-05-14,Bill Payment,4283.61,PUN-006,0
TXN000014,CUST0396,2024-03-09,Withdrawal,21706.77,JAI-009,0
TXN000015,CUST0078,2023-11-03,Deposit,725.37,KOL-007,1
TXN000016,CUST0178,2024-04-03,Deposit,2394.07,PUN-006,1
TXN000017,CUST0193,2024-06-01,Transfer,4945.79,DL-002,0
TXN000018,CUST0215,2023-10-30,Bill Payment,5199.81,MU-001,0
TXN000019,CUST0365,2023-09-11,Transfer,2863.85,DL-002,0
TXN000020,CUST0460,2023-10-27,Bill Payment,10377.76,PUN-006,0
TXN000021,CUST0298,2023-08-13,Deposit,1364.93,JAI-009,0
TXN000022,CUST0039,2024-01-18,Deposit,4142.87,KOL-007,0
TXN000023,CUST0122,2023-09-05,Transfer,5678.0,HYD-005,0
TXN000024,CUST0359,2024-01-18,Transfer,9111.81,PUN-006,0
TXN000025,CUST0039,2023-10-28,Withdrawal,11544.19,BLR-003,0
TXN000026,CUST0056,2024-04-25,Withdrawal,1274.65,DL-002,1
TXN000027,CUST0161,2024-02-24,Bill Payment,779.82,DL-002,0
TXN000028,CUST0232,00/00/0000,Transfer,22770.3,AHM-008,0
TXN000029,CUST0047,2023-08-31,Withdrawal,7323.01,HYD-005,0
TXN000030,CUST0309,2024-06-21,Deposit,2001.83,CHN-004,0
TXN000031,CUST0076,2023-12-15,Deposit,31614.85,CHN-004,0
TXN000032,CUST0263,2024-01-19,Deposit,5646.6,HYD-005,0
TXN000033,CUST0016,2023-09-28,Bill Payment,20234.75,AHM-008,0
TXN000034,CUST0128,00/00/0000,Deposit,5329.55,AHM-008,0
TXN000035,CUST0063,2023-09-10,Deposit,58273.2,MU-001,0
TXN000036,CUST0067,2023-10-22,Withdrawal,,KOL-007,1
TXN000037,CUST0481,2024-05-18,Deposit,3645.48,LKN-010,0
TXN000038,CUST0012,2023-08-08,Deposit,15770.32,CHN-004,0
TXN000039,CUST0415,2024-02-13,Withdrawal,10662.1,DL-002,0
TXN000040,CUST0063,2023-12-17,Deposit,25396.28,AHM-008,0
TXN000041,CUST0222,2024-04-19,Bill Payment,1543.94,AHM-008,1
TXN000042,CUST0219,2024-06-14,Withdrawal,11195.44,PUN-006,0
TXN000043,CUST0141,2023-10-04,Transfer,,AHM-008,0
TXN000044,CUST0315,2023-07-18,Withdrawal,595.57,HYD-005,0
TXN000045,CUST0246,2024-04-07,Deposit,1188.08,DL-002,0
TXN000046,CUST0215,2023-09-09,Withdrawal,425.35,JAI-009,0
TXN000047,CUST0407,2024-04-04,Deposit,3557.14,KOL-007,0
TXN000048,CUST0246,2023-12-31,Bill Payment,11626.6,PUN-006,0
TXN000049,CUST0165,2024-03-14,Bill Payment,29816.84,HYD-005,0
TXN000050,CUST0306,2023-12-11,Withdrawal,5371.78,MU-001,0
TXN000051,CUST0030,2023-11-21,Bill Payment,34694.58,JAI-009,0
TXN000052,CUST0120,2024-04-25,Withdrawal,938.12,DL-002,0
TXN000053,CUST0137,2023-11-01,Deposit,636.47,CHN-004,0
TXN000054,CUST0182,2024-01-15,Withdrawal,4597.84,BLR-003,1
TXN000055,CUST0413,2023-12-10,Transfer,7792.2,LKN-010,1
TXN000056,CUST0181,2024-06-23,Withdrawal,4725.68,LKN-010,0
TXN000057,CUST0278,2024-03-09,Transfer,411.2,BLR-003,0
TXN000058,CUST0029,2023-08-16,Withdrawal,4416.29,LKN-010,0
TXN000059,CUST0245,2024-03-26,Deposit,1027.25,PUN-006,0
TXN000060,CUST0413,2023-10-12,Withdrawal,10977.54,PUN-006,0
TXN000061,CUST0031,2023-12-13,Deposit,7630.57,BLR-003,0
TXN000062,CUST0397,2023-09-11,Deposit,1591.04,JAI-009,0
TXN000063,CUST0192,2023-08-07,Bill Payment,2652.77,LKN-010,0
TXN000064,CUST0166,2023-12-02,Withdrawal,1378.77,BLR-003,1
TXN000065,CUST0406,2024-02-09,Bill Payment,4558.66,PUN-006,0
TXN000066,CUST0356,2024-04-13,Transfer,15462.47,CHN-004,0
TXN000067,CUST0194,2023-09-28,Transfer,1505.87,HYD-005,0
TXN000068,CUST0486,2023-07-01,Bill Payment,8998.88,LKN-010,0
TXN000069,CUST0163,2024-05-04,Withdrawal,2601.1,LKN-010,0
TXN000070,CUST0073,2024-03-11,Transfer,1897.99,DL-002,0
TXN000071,CUST0086,2023-12-11,Deposit,4322.39,PUN-006,0
TXN000072,CUST0108,2023-11-13,Withdrawal,1419.0,DL-002,0
TXN000073,CUST0369,2023-08-25,Deposit,2529.11,MU-001,0
TXN000074,CUST0497,2024-01-31,Withdrawal,1167.41,KOL-007,1
TXN000075,CUST0180,2024-01-10,Bill Payment,51930.95,DL-002,0
TXN000076,CUST0334,2024-04-21,Withdrawal,5127.21,BLR-003,1
TXN000077,CUST0151,2023-07-18,Deposit,2122.46,PUN-006,0
TXN000078,CUST0038,2023-08-23,Transfer,6353.59,BLR-003,0
TXN000079,CUST0375,2023-09-21,Deposit,4295.0,JAI-009,0
TXN000080,CUST0174,2023-08-17,Bill Payment,3770.02,MU-001,0
TXN000081,CUST0085,2024-05-30,Bill Payment,10270.18,BLR-003,0
TXN000082,CUST0106,2023-12-17,Withdrawal,12197.78,KOL-007,1
TXN000083,CUST0136,2024-04-02,Transfer,2600.34,HYD-005,0
TXN000084,CUST0202,2023-07-26,Bill Payment,2462.71,BLR-003,0
TXN000085,CUST0219,2023-07-02,Deposit,3533.12,HYD-005,0
TXN000086,CUST0308,2024-05-16,Bill Payment,310.35,CHN-004,0
TXN000087,CUST0088,2023-10-14,Transfer,797.73,DL-002,0
TXN000088,CUST0158,2023-08-29,Bill Payment,25342.78,AHM-008,0
TXN000089,CUST0136,2024-06-03,Deposit,35382.1,JAI-009,0
TXN000090,CUST0454,2024-01-06,Bill Payment,3645.16,PUN-006,0
TXN000091,CUST0135,2023-07-23,Bill Payment,9816.98,AHM-008,0
